case_id,correct_diagnosis_reference,similarity,comparison,embedding_gap
28,Lung cancer,0.9257496992746989,average_pairwise_similarity,0.07425030072530114
23,Irritable Bowel Syndrome,0.9365394711494446,average_pairwise_similarity,0.06346052885055542
26,Interstitial cystitis,0.9563185373942057,average_pairwise_similarity,0.04368146260579431
15,Epidermoid cyst,0.9590288798014323,average_pairwise_similarity,0.040971120198567745
5,Pes anserine bursitis,0.9614950815836588,average_pairwise_similarity,0.03850491841634118
18,Uterine rupture,0.9627230564753214,average_pairwise_similarity,0.037276943524678585
2,Hirschsprung disease,0.9636593659718832,average_pairwise_similarity,0.036340634028116825
25,Primary sclerosing cholangitis,0.9647108912467957,average_pairwise_similarity,0.035289108753204346
24,Meigs syndrome,0.9650522867838541,average_pairwise_similarity,0.03494771321614587
2,Hirschsprung disease,0.9667049646377563,flash_vs_pro,0.03329503536224365
23,Irritable Bowel Syndrome,0.9701077938079834,flash_vs_pro,0.0298922061920166
15,Epidermoid cyst,0.9711741209030151,flash_vs_pro,0.028825879096984863
28,Lung cancer,0.9738163352012634,flash_vs_pro,0.026183664798736572
26,Interstitial cystitis,0.9797354936599731,flash_vs_pro,0.020264506340026855
25,Primary sclerosing cholangitis,0.9819009304046631,flash_vs_pro,0.018099069595336914
24,Meigs syndrome,0.9838804006576538,flash_vs_pro,0.01611959934234619
5,Pes anserine bursitis,0.9848861694335938,flash_vs_pro,0.01511383056640625
18,Uterine rupture,0.9885827302932739,flash_vs_pro,0.011417269706726074
28,Lung cancer,0.9154789447784424,flash_vs_qwen,0.08452105522155762
23,Irritable Bowel Syndrome,0.9386965036392212,flash_vs_qwen,0.06130349636077881
18,Uterine rupture,0.9450048208236694,flash_vs_qwen,0.054995179176330566
26,Interstitial cystitis,0.945080041885376,flash_vs_qwen,0.05491995811462402
5,Pes anserine bursitis,0.9542675018310547,flash_vs_qwen,0.04573249816894531
2,Hirschsprung disease,0.957877516746521,flash_vs_qwen,0.042122483253479004
15,Epidermoid cyst,0.9616445302963257,flash_vs_qwen,0.038355469703674316
24,Meigs syndrome,0.9646521806716919,flash_vs_qwen,0.035347819328308105
25,Primary sclerosing cholangitis,0.967126190662384,flash_vs_qwen,0.03287380933761597
28,Lung cancer,0.8879538178443909,pro_vs_qwen,0.11204618215560913
23,Irritable Bowel Syndrome,0.9008141160011292,pro_vs_qwen,0.09918588399887085
26,Interstitial cystitis,0.9441400766372681,pro_vs_qwen,0.055859923362731934
15,Epidermoid cyst,0.944267988204956,pro_vs_qwen,0.055732011795043945
25,Primary sclerosing cholangitis,0.9451055526733398,pro_vs_qwen,0.054894447326660156
5,Pes anserine bursitis,0.9453315734863281,pro_vs_qwen,0.054668426513671875
24,Meigs syndrome,0.9466242790222168,pro_vs_qwen,0.0533757209777832
18,Uterine rupture,0.954581618309021,pro_vs_qwen,0.045418381690979004
2,Hirschsprung disease,0.9663956165313721,pro_vs_qwen,0.03360438346862793
