case_id,group,model,n_outputs,correct_diagnosis_reference,mean_full_dialogue_char_len
2,Qwen_plus_turbo_1,qwen,10,Hirschsprung disease,6012.5
2,Qwen_plus_turbo_2,qwen,10,Hirschsprung disease,6636.9
2,deepseek_flash_1,flash,10,Hirschsprung disease,6597.2
2,deepseek_flash_2,flash,10,Hirschsprung disease,5674.4
2,deepseek_pro_1,pro,10,Hirschsprung disease,3680.7
2,deepseek_pro_2,pro,10,Hirschsprung disease,4255.4
5,Qwen_plus_turbo_1,qwen,10,Pes anserine bursitis,6223.6
5,Qwen_plus_turbo_2,qwen,10,Pes anserine bursitis,6902.8
5,deepseek_flash_1,flash,10,Pes anserine bursitis,5162.9
5,deepseek_flash_2,flash,10,Pes anserine bursitis,5242.8
5,deepseek_pro_1,pro,10,Pes anserine bursitis,4377.3
5,deepseek_pro_2,pro,10,Pes anserine bursitis,4800.7
15,Qwen_plus_turbo_1,qwen,10,Epidermoid cyst,7575.6
15,Qwen_plus_turbo_2,qwen,10,Epidermoid cyst,7344.8
15,deepseek_flash_1,flash,10,Epidermoid cyst,5911.0
15,deepseek_flash_2,flash,10,Epidermoid cyst,5522.8
15,deepseek_pro_1,pro,10,Epidermoid cyst,4583.2
15,deepseek_pro_2,pro,10,Epidermoid cyst,4567.5
18,Qwen_plus_turbo_1,qwen,10,Uterine rupture,4693.7
18,Qwen_plus_turbo_2,qwen,10,Uterine rupture,4207.4
18,deepseek_flash_1,flash,10,Uterine rupture,2168.7
18,deepseek_flash_2,flash,10,Uterine rupture,2487.5
18,deepseek_pro_1,pro,10,Uterine rupture,1953.6
18,deepseek_pro_2,pro,10,Uterine rupture,2323.9
23,Qwen_plus_turbo_1,qwen,10,Irritable Bowel Syndrome,7777.7
23,Qwen_plus_turbo_2,qwen,10,Irritable Bowel Syndrome,7371.5
23,deepseek_flash_1,flash,10,Irritable Bowel Syndrome,7514.3
23,deepseek_flash_2,flash,10,Irritable Bowel Syndrome,6924.4
23,deepseek_pro_1,pro,10,Irritable Bowel Syndrome,4896.8
23,deepseek_pro_2,pro,10,Irritable Bowel Syndrome,4340.8
24,Qwen_plus_turbo_1,qwen,10,Meigs syndrome,7166.1
24,Qwen_plus_turbo_2,qwen,10,Meigs syndrome,7649.6
24,deepseek_flash_1,flash,10,Meigs syndrome,4633.1
24,deepseek_flash_2,flash,10,Meigs syndrome,5085.1
24,deepseek_pro_1,pro,10,Meigs syndrome,3480.8
24,deepseek_pro_2,pro,10,Meigs syndrome,4071.1
25,Qwen_plus_turbo_1,qwen,10,Primary sclerosing cholangitis,7918.9
25,Qwen_plus_turbo_2,qwen,10,Primary sclerosing cholangitis,6245.6
25,deepseek_flash_1,flash,10,Primary sclerosing cholangitis,5204.7
25,deepseek_flash_2,flash,10,Primary sclerosing cholangitis,6667.3
25,deepseek_pro_1,pro,10,Primary sclerosing cholangitis,5232.6
25,deepseek_pro_2,pro,10,Primary sclerosing cholangitis,4477.5
26,Qwen_plus_turbo_1,qwen,10,Interstitial cystitis,7424.3
26,Qwen_plus_turbo_2,qwen,10,Interstitial cystitis,7689.7
26,deepseek_flash_1,flash,10,Interstitial cystitis,5832.2
26,deepseek_flash_2,flash,10,Interstitial cystitis,6602.3
26,deepseek_pro_1,pro,10,Interstitial cystitis,5452.0
26,deepseek_pro_2,pro,10,Interstitial cystitis,6067.9
28,Qwen_plus_turbo_1,qwen,10,Lung cancer,8399.2
28,Qwen_plus_turbo_2,qwen,10,Lung cancer,7764.3
28,deepseek_flash_1,flash,10,Lung cancer,6910.8
28,deepseek_flash_2,flash,10,Lung cancer,6463.4
28,deepseek_pro_1,pro,10,Lung cancer,4501.4
28,deepseek_pro_2,pro,10,Lung cancer,4334.9
