case_id,model,n_outputs,correct_diagnosis_reference,mean_full_dialogue_char_len
2,flash,20,Hirschsprung disease,6135.8
2,pro,20,Hirschsprung disease,3968.05
2,qwen,20,Hirschsprung disease,6324.7
5,flash,20,Pes anserine bursitis,5202.85
5,pro,20,Pes anserine bursitis,4589.0
5,qwen,20,Pes anserine bursitis,6563.2
15,flash,20,Epidermoid cyst,5716.9
15,pro,20,Epidermoid cyst,4575.35
15,qwen,20,Epidermoid cyst,7460.2
18,flash,20,Uterine rupture,2328.1
18,pro,20,Uterine rupture,2138.75
18,qwen,20,Uterine rupture,4450.55
23,flash,20,Irritable Bowel Syndrome,7219.35
23,pro,20,Irritable Bowel Syndrome,4618.8
23,qwen,20,Irritable Bowel Syndrome,7574.6
24,flash,20,Meigs syndrome,4859.1
24,pro,20,Meigs syndrome,3775.95
24,qwen,20,Meigs syndrome,7407.85
25,flash,20,Primary sclerosing cholangitis,5936.0
25,pro,20,Primary sclerosing cholangitis,4855.05
25,qwen,20,Primary sclerosing cholangitis,7082.25
26,flash,20,Interstitial cystitis,6217.25
26,pro,20,Interstitial cystitis,5759.95
26,qwen,20,Interstitial cystitis,7557.0
28,flash,20,Lung cancer,6687.1
28,pro,20,Lung cancer,4418.15
28,qwen,20,Lung cancer,8081.75
