case_id,correct_diagnosis_reference,similarity,comparison,embedding_gap
23,Irritable Bowel Syndrome,0.956755518913269,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.04324448108673096
28,Lung cancer,0.9669123888015747,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.03308761119842529
2,Hirschsprung disease,0.9818875789642334,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.0181124210357666
18,Uterine rupture,0.9820448160171509,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.01795518398284912
5,Pes anserine bursitis,0.9844073057174683,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.015592694282531738
24,Meigs syndrome,0.9845148921012878,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.015485107898712158
25,Primary sclerosing cholangitis,0.9860959649085999,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.013904035091400146
15,Epidermoid cyst,0.9861687421798706,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.013831257820129395
26,Interstitial cystitis,0.9862241744995117,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.013775825500488281
28,Lung cancer,0.9085683822631836,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.0914316177368164
23,Irritable Bowel Syndrome,0.915134072303772,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.08486592769622803
2,Hirschsprung disease,0.9272773265838623,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.0727226734161377
18,Uterine rupture,0.9321755170822144,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.06782448291778564
5,Pes anserine bursitis,0.9366417527198792,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.06335824728012085
26,Interstitial cystitis,0.9427752494812012,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.05722475051879883
24,Meigs syndrome,0.9542617797851562,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.04573822021484375
25,Primary sclerosing cholangitis,0.9574407339096069,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.042559266090393066
15,Epidermoid cyst,0.9594091176986694,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.040590882301330566
28,Lung cancer,0.9063504338264465,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.09364956617355347
23,Irritable Bowel Syndrome,0.9086954593658447,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.09130454063415527
18,Uterine rupture,0.9348335266113281,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.06516647338867188
5,Pes anserine bursitis,0.9360344409942627,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.0639655590057373
26,Interstitial cystitis,0.9449766874313354,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.05502331256866455
2,Hirschsprung disease,0.9485238790512085,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.051476120948791504
25,Primary sclerosing cholangitis,0.9551777243614197,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.04482227563858032
15,Epidermoid cyst,0.9596182107925415,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.040381789207458496
24,Meigs syndrome,0.9601119160652161,Qwen_plus_turbo_1_vs_deepseek_flash_2,0.039888083934783936
23,Irritable Bowel Syndrome,0.8725979924201965,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.12740200757980347
28,Lung cancer,0.8771918416023254,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.12280815839767456
5,Pes anserine bursitis,0.9191426038742065,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.08085739612579346
26,Interstitial cystitis,0.9262763857841492,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.07372361421585083
18,Uterine rupture,0.9383820295333862,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.06161797046661377
15,Epidermoid cyst,0.9412553310394287,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.05874466896057129
2,Hirschsprung disease,0.9503143429756165,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.049685657024383545
25,Primary sclerosing cholangitis,0.9514129757881165,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.048587024211883545
24,Meigs syndrome,0.9532382488250732,Qwen_plus_turbo_1_vs_deepseek_pro_1,0.04676175117492676
28,Lung cancer,0.8781190514564514,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.12188094854354858
23,Irritable Bowel Syndrome,0.8826811909675598,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.11731880903244019
5,Pes anserine bursitis,0.9265404343605042,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.07345956563949585
25,Primary sclerosing cholangitis,0.9339152574539185,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.06608474254608154
18,Uterine rupture,0.9395252466201782,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.06047475337982178
26,Interstitial cystitis,0.9426188468933105,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.05738115310668945
2,Hirschsprung disease,0.9485051035881042,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.05149489641189575
15,Epidermoid cyst,0.9500373601913452,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.049962639808654785
24,Meigs syndrome,0.9535679817199707,Qwen_plus_turbo_1_vs_deepseek_pro_2,0.0464320182800293
28,Lung cancer,0.9031965732574463,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.09680342674255371
2,Hirschsprung disease,0.9203686714172363,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.07963132858276367
5,Pes anserine bursitis,0.9346764087677002,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.0653235912322998
26,Interstitial cystitis,0.9386821985244751,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.0613178014755249
23,Irritable Bowel Syndrome,0.9397952556610107,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.06020474433898926
18,Uterine rupture,0.9419803619384766,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.05801963806152344
24,Meigs syndrome,0.9520021677017212,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.04799783229827881
15,Epidermoid cyst,0.9562475085258484,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.04375249147415161
25,Primary sclerosing cholangitis,0.9614424705505371,Qwen_plus_turbo_2_vs_deepseek_flash_1,0.03855752944946289
28,Lung cancer,0.8967336416244507,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.10326635837554932
5,Pes anserine bursitis,0.9281818866729736,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.07181811332702637
23,Irritable Bowel Syndrome,0.9373618364334106,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.06263816356658936
18,Uterine rupture,0.9414020776748657,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.05859792232513428
2,Hirschsprung disease,0.9415733814239502,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.058426618576049805
26,Interstitial cystitis,0.9442503452301025,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.05574965476989746
25,Primary sclerosing cholangitis,0.9481027126312256,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.051897287368774414
15,Epidermoid cyst,0.9569565057754517,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.04304349422454834
24,Meigs syndrome,0.9590630531311035,Qwen_plus_turbo_2_vs_deepseek_flash_2,0.040936946868896484
28,Lung cancer,0.8738400936126709,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.1261599063873291
23,Irritable Bowel Syndrome,0.8936201333999634,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.10637986660003662
5,Pes anserine bursitis,0.9146401286125183,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.08535987138748169
15,Epidermoid cyst,0.9242050647735596,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.07579493522644043
26,Interstitial cystitis,0.9280310273170471,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.07196897268295288
25,Primary sclerosing cholangitis,0.9433833360671997,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.05661666393280029
2,Hirschsprung disease,0.9471644163131714,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.05283558368682861
18,Uterine rupture,0.9488049745559692,Qwen_plus_turbo_2_vs_deepseek_pro_1,0.05119502544403076
