comparison,mean_case_level_similarity,std,min,max,n_cases,mean_embedding_gap
Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.9794457091225518,0.010430326338338007,0.956755518913269,0.9862241744995117,9,0.0205542908774482
Qwen_plus_turbo_1_vs_deepseek_flash_1,0.9370759924252828,0.01821974467824306,0.9085683822631836,0.9594091176986694,9,0.06292400757471717
Qwen_plus_turbo_1_vs_deepseek_flash_2,0.9393691420555115,0.02021216975286027,0.9063504338264465,0.9601119160652161,9,0.060630857944488525
Qwen_plus_turbo_1_vs_deepseek_pro_1,0.925534639093611,0.03091142700479662,0.8725979924201965,0.9532382488250732,9,0.074465360906389
Qwen_plus_turbo_1_vs_deepseek_pro_2,0.9283900525834825,0.028469332214474313,0.8781190514564514,0.9535679817199707,9,0.0716099474165175
Qwen_plus_turbo_2_vs_deepseek_flash_1,0.938710179593828,0.018120301583910616,0.9031965732574463,0.9614424705505371,9,0.061289820406172035
Qwen_plus_turbo_2_vs_deepseek_flash_2,0.9392917156219482,0.01855119368166548,0.8967336416244507,0.9590630531311035,9,0.06070828437805176
Qwen_plus_turbo_2_vs_deepseek_pro_1,0.9255591366026137,0.027601260435410786,0.8738400936126709,0.9563430547714233,9,0.07444086339738631
Qwen_plus_turbo_2_vs_deepseek_pro_2,0.9289871719148424,0.023174055044334476,0.88893061876297,0.9561797976493835,9,0.07101282808515763
deepseek_flash_1_vs_deepseek_flash_2,0.98287961880366,0.006965018896539523,0.96683669090271,0.9903067946434021,9,0.017120381196339962
deepseek_flash_1_vs_deepseek_pro_1,0.9683181312349107,0.015633898117281067,0.934432864189148,0.9835995435714722,9,0.03168186876508927
deepseek_flash_1_vs_deepseek_pro_2,0.9660661353005303,0.016277576071126718,0.9326625466346741,0.9852899312973022,9,0.033933864699469685
deepseek_flash_2_vs_deepseek_pro_1,0.9724003142780728,0.009753377947316963,0.9595049619674683,0.9863781332969666,9,0.02759968572192717
deepseek_flash_2_vs_deepseek_pro_2,0.9684112071990967,0.009857835784211184,0.9571933746337891,0.9843701124191284,9,0.03158879280090332
deepseek_pro_1_vs_deepseek_pro_2,0.9853443106015524,0.0035376515901518134,0.9814459681510925,0.9914524555206299,9,0.014655689398447636
