case_id,correct_diagnosis_reference,similarity,comparison,embedding_gap
28,Lung cancer,0.8982819974422455,average_pairwise_similarity,0.10171800255775454
24,Meigs syndrome,0.9232322812080384,average_pairwise_similarity,0.07676771879196165
26,Interstitial cystitis,0.9304932057857513,average_pairwise_similarity,0.06950679421424866
23,Irritable Bowel Syndrome,0.9309749960899353,average_pairwise_similarity,0.06902500391006472
25,Primary sclerosing cholangitis,0.9328461527824402,average_pairwise_similarity,0.06715384721755979
2,Hirschsprung disease,0.9371528089046478,average_pairwise_similarity,0.0628471910953522
5,Pes anserine bursitis,0.9401344656944275,average_pairwise_similarity,0.05986553430557251
15,Epidermoid cyst,0.941644412279129,average_pairwise_similarity,0.058355587720871016
18,Uterine rupture,0.9463217079639434,average_pairwise_similarity,0.05367829203605656
2,Hirschsprung disease,0.9074881076812744,flash_vs_gpt_5_4_mini,0.09251189231872559
24,Meigs syndrome,0.9252341985702515,flash_vs_gpt_5_4_mini,0.07476580142974854
26,Interstitial cystitis,0.9288495779037476,flash_vs_gpt_5_4_mini,0.07115042209625244
25,Primary sclerosing cholangitis,0.9366711974143982,flash_vs_gpt_5_4_mini,0.0633288025856018
23,Irritable Bowel Syndrome,0.9409335851669312,flash_vs_gpt_5_4_mini,0.05906641483306885
15,Epidermoid cyst,0.9428584575653076,flash_vs_gpt_5_4_mini,0.05714154243469238
28,Lung cancer,0.9451450109481812,flash_vs_gpt_5_4_mini,0.05485498905181885
18,Uterine rupture,0.9455184936523438,flash_vs_gpt_5_4_mini,0.05448150634765625
5,Pes anserine bursitis,0.9481362700462341,flash_vs_gpt_5_4_mini,0.05186372995376587
28,Lung cancer,0.8660707473754883,flash_vs_gpt_5_5,0.13392925262451172
24,Meigs syndrome,0.8680790662765503,flash_vs_gpt_5_5,0.1319209337234497
25,Primary sclerosing cholangitis,0.8790277242660522,flash_vs_gpt_5_5,0.12097227573394775
26,Interstitial cystitis,0.9126043319702148,flash_vs_gpt_5_5,0.08739566802978516
2,Hirschsprung disease,0.9158974885940552,flash_vs_gpt_5_5,0.08410251140594482
15,Epidermoid cyst,0.920315146446228,flash_vs_gpt_5_5,0.07968485355377197
18,Uterine rupture,0.9267070293426514,flash_vs_gpt_5_5,0.07329297065734863
23,Irritable Bowel Syndrome,0.9318410158157349,flash_vs_gpt_5_5,0.06815898418426514
5,Pes anserine bursitis,0.9475415945053101,flash_vs_gpt_5_5,0.05245840549468994
2,Hirschsprung disease,0.9596823453903198,flash_vs_pro,0.040317654609680176
15,Epidermoid cyst,0.9638300538063049,flash_vs_pro,0.03616994619369507
23,Irritable Bowel Syndrome,0.9732803106307983,flash_vs_pro,0.02671968936920166
28,Lung cancer,0.9753653407096863,flash_vs_pro,0.02463465929031372
25,Primary sclerosing cholangitis,0.9755511283874512,flash_vs_pro,0.024448871612548828
26,Interstitial cystitis,0.9808923006057739,flash_vs_pro,0.019107699394226074
5,Pes anserine bursitis,0.9847643375396729,flash_vs_pro,0.015235662460327148
24,Meigs syndrome,0.9865921139717102,flash_vs_pro,0.013407886028289795
18,Uterine rupture,0.989113986492157,flash_vs_pro,0.010886013507843018
28,Lung cancer,0.915246844291687,flash_vs_qwen,0.08475315570831299
