,Qwen_plus_turbo_1,Qwen_plus_turbo_2,deepseek_flash_1,deepseek_flash_2,deepseek_pro_1,deepseek_pro_2,gpt_5_4_mini_1,gpt_5_4_mini_2,gpt_5_5_1,gpt_5_5_2
Qwen_plus_turbo_1,1.0,0.9794457091225518,0.9370759924252828,0.9393691420555115,0.925534639093611,0.9283900525834825,0.8956378764576383,0.894648810227712,0.881946517361535,0.8792066110504998
Qwen_plus_turbo_2,0.9794457091225518,1.0,0.938710179593828,0.9392917156219482,0.9255591366026137,0.9289871719148424,0.8941056993272569,0.8941701849301656,0.8828449779086642,0.8798565930790372
deepseek_flash_1,0.9370759924252828,0.938710179593828,1.0,0.98287961880366,0.9683181312349107,0.9660661353005303,0.9276878899998136,0.9282468756039938,0.8987409406238132,0.900129583146837
deepseek_flash_2,0.9393691420555115,0.9392917156219482,0.98287961880366,1.0,0.9724003142780728,0.9684112071990967,0.9282025297482809,0.9304768376880221,0.9014730850855509,0.902401950624254
deepseek_pro_1,0.925534639093611,0.9255591366026137,0.9683181312349107,0.9724003142780728,1.0,0.9853443106015524,0.9425310161378648,0.9438821540938483,0.91440392865075,0.9156888193554349
deepseek_pro_2,0.9283900525834825,0.9289871719148424,0.9660661353005303,0.9684112071990967,0.9853443106015524,1.0,0.9341336687405905,0.9364354742897881,0.9077302018801371,0.908540580007765
gpt_5_4_mini_1,0.8956378764576383,0.8941056993272569,0.9276878899998136,0.9282025297482809,0.9425310161378648,0.9341336687405905,1.0,0.987356550163693,0.9510840839809842,0.9501883586247762
gpt_5_4_mini_2,0.894648810227712,0.8941701849301656,0.9282468756039938,0.9304768376880221,0.9438821540938483,0.9364354742897881,0.987356550163693,1.0,0.9494011667039659,0.9476438893212212
gpt_5_5_1,0.881946517361535,0.8828449779086642,0.8987409406238132,0.9014730850855509,0.91440392865075,0.9077302018801371,0.9510840839809842,0.9494011667039659,1.0,0.9869117074542575
gpt_5_5_2,0.8792066110504998,0.8798565930790372,0.900129583146837,0.902401950624254,0.9156888193554349,0.908540580007765,0.9501883586247762,0.9476438893212212,0.9869117074542575,1.0
