comparison,mean_case_level_similarity,std,min,max,n_cases,mean_embedding_gap
Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.9794457091225518,0.010430326338338007,0.956755518913269,0.9862241744995117,9,0.0205542908774482
Qwen_plus_turbo_1_vs_deepseek_flash_1,0.9370759924252828,0.01821974467824306,0.9085683822631836,0.9594091176986694,9,0.06292400757471717
Qwen_plus_turbo_1_vs_deepseek_flash_2,0.9393691420555115,0.02021216975286027,0.9063504338264465,0.9601119160652161,9,0.060630857944488525
Qwen_plus_turbo_1_vs_deepseek_pro_1,0.925534639093611,0.03091142700479662,0.8725979924201965,0.9532382488250732,9,0.074465360906389
Qwen_plus_turbo_1_vs_deepseek_pro_2,0.9283900525834825,0.028469332214474313,0.8781190514564514,0.9535679817199707,9,0.0716099474165175
Qwen_plus_turbo_1_vs_gpt_5_4_mini_1,0.8956378764576383,0.034004052810168,0.8346542716026306,0.9393693208694458,9,0.10436212354236174
Qwen_plus_turbo_1_vs_gpt_5_4_mini_2,0.894648810227712,0.03668706606960731,0.828540563583374,0.9458290934562683,9,0.10535118977228797
Qwen_plus_turbo_1_vs_gpt_5_5_1,0.881946517361535,0.03180780405078541,0.8395655155181885,0.9169267416000366,9,0.11805348263846505
Qwen_plus_turbo_1_vs_gpt_5_5_2,0.8792066110504998,0.031574109020444004,0.8303190469741821,0.9248012900352478,9,0.1207933889495002
Qwen_plus_turbo_2_vs_deepseek_flash_1,0.938710179593828,0.018120301583910616,0.9031965732574463,0.9614424705505371,9,0.061289820406172035
Qwen_plus_turbo_2_vs_deepseek_flash_2,0.9392917156219482,0.01855119368166548,0.8967336416244507,0.9590630531311035,9,0.06070828437805176
Qwen_plus_turbo_2_vs_deepseek_pro_1,0.9255591366026137,0.027601260435410786,0.8738400936126709,0.9563430547714233,9,0.07444086339738631
Qwen_plus_turbo_2_vs_deepseek_pro_2,0.9289871719148424,0.023174055044334476,0.88893061876297,0.9561797976493835,9,0.07101282808515763
Qwen_plus_turbo_2_vs_gpt_5_4_mini_1,0.8941056993272569,0.02683873728804417,0.8522206544876099,0.9259659647941589,9,0.10589430067274308
Qwen_plus_turbo_2_vs_gpt_5_4_mini_2,0.8941701849301656,0.029697957616464068,0.8521769046783447,0.9364944100379944,9,0.10582981506983435
Qwen_plus_turbo_2_vs_gpt_5_5_1,0.8828449779086642,0.03159755510596031,0.8294675350189209,0.9319117069244385,9,0.11715502209133577
Qwen_plus_turbo_2_vs_gpt_5_5_2,0.8798565930790372,0.032429495386440306,0.8174887895584106,0.9339500665664673,9,0.12014340692096281
deepseek_flash_1_vs_deepseek_flash_2,0.98287961880366,0.006965018896539523,0.96683669090271,0.9903067946434021,9,0.017120381196339962
deepseek_flash_1_vs_deepseek_pro_1,0.9683181312349107,0.015633898117281067,0.934432864189148,0.9835995435714722,9,0.03168186876508927
deepseek_flash_1_vs_deepseek_pro_2,0.9660661353005303,0.016277576071126718,0.9326625466346741,0.9852899312973022,9,0.033933864699469685
deepseek_flash_1_vs_gpt_5_4_mini_1,0.9276878899998136,0.01831370816096765,0.890049934387207,0.9509217143058777,9,0.07231211000018645
deepseek_flash_1_vs_gpt_5_4_mini_2,0.9282468756039938,0.023851783966904645,0.869890570640564,0.9465712308883667,9,0.07175312439600623
deepseek_flash_1_vs_gpt_5_5_1,0.8987409406238132,0.03429710953425836,0.8473986387252808,0.9464805126190186,9,0.10125905937618684
deepseek_flash_1_vs_gpt_5_5_2,0.900129583146837,0.03365073507151756,0.8513957858085632,0.9491681456565857,9,0.099870416853163
deepseek_flash_2_vs_deepseek_pro_1,0.9724003142780728,0.009753377947316963,0.9595049619674683,0.9863781332969666,9,0.02759968572192717
deepseek_flash_2_vs_deepseek_pro_2,0.9684112071990967,0.009857835784211184,0.9571933746337891,0.9843701124191284,9,0.03158879280090332
deepseek_flash_2_vs_gpt_5_4_mini_1,0.9282025297482809,0.006121803379633468,0.9178589582443237,0.9355912208557129,9,0.07179747025171912
deepseek_flash_2_vs_gpt_5_4_mini_2,0.9304768376880221,0.013336095607807788,0.9000009298324585,0.9465727806091309,9,0.06952316231197786
deepseek_flash_2_vs_gpt_5_5_1,0.9014730850855509,0.025441374568654886,0.8623429536819458,0.9320891499519348,9,0.09852691491444909
deepseek_flash_2_vs_gpt_5_5_2,0.902401950624254,0.03004426118022022,0.843064546585083,0.9359997510910034,9,0.09759804937574601
deepseek_pro_1_vs_deepseek_pro_2,0.9853443106015524,0.0035376515901518134,0.9814459681510925,0.9914524555206299,9,0.014655689398447636
deepseek_pro_1_vs_gpt_5_4_mini_1,0.9425310161378648,0.011906071813291895,0.9227969646453857,0.9603271484375,9,0.05746898386213517
deepseek_pro_1_vs_gpt_5_4_mini_2,0.9438821540938483,0.012348406207098114,0.9233204126358032,0.9591491222381592,9,0.05611784590615165
deepseek_pro_1_vs_gpt_5_5_1,0.91440392865075,0.03722337024649914,0.8478244543075562,0.9518299698829651,9,0.08559607134924996
deepseek_pro_1_vs_gpt_5_5_2,0.9156888193554349,0.0421634514460467,0.8238734006881714,0.9569448232650757,9,0.08431118064456511
deepseek_pro_2_vs_gpt_5_4_mini_1,0.9341336687405905,0.010836863296593247,0.9176494479179382,0.9504890441894531,9,0.06586633125940955
deepseek_pro_2_vs_gpt_5_4_mini_2,0.9364354742897881,0.015072861698548152,0.907479465007782,0.9538105130195618,9,0.06356452571021187
deepseek_pro_2_vs_gpt_5_5_1,0.9077302018801371,0.03940123023065814,0.8356573581695557,0.947453498840332,9,0.09226979811986291
deepseek_pro_2_vs_gpt_5_5_2,0.908540580007765,0.040955842099918316,0.8199796676635742,0.9471360445022583,9,0.09145941999223495
gpt_5_4_mini_1_vs_gpt_5_4_mini_2,0.987356550163693,0.0043624237254702375,0.9766381978988647,0.9902912378311157,9,0.012643449836307052
gpt_5_4_mini_1_vs_gpt_5_5_1,0.9510840839809842,0.024164486716128527,0.9049632549285889,0.9832983016967773,9,0.04891591601901579
gpt_5_4_mini_1_vs_gpt_5_5_2,0.9501883586247762,0.030017018335841,0.8782772421836853,0.977137565612793,9,0.04981164137522376
gpt_5_4_mini_2_vs_gpt_5_5_1,0.9494011667039659,0.02713376490695574,0.8979528546333313,0.9831832051277161,9,0.050598833296034096
gpt_5_4_mini_2_vs_gpt_5_5_2,0.9476438893212212,0.034431463778753786,0.8673783540725708,0.9788469076156616,9,0.05235611067877877
gpt_5_5_1_vs_gpt_5_5_2,0.9869117074542575,0.0050227747028023274,0.9788787364959717,0.9920201897621155,9,0.013088292545742508
