comparison,mean_case_level_similarity,std,min,max,n_cases,mean_embedding_gap
flash_vs_pro,0.9765635463926527,0.010027673631787895,0.9596823453903198,0.989113986492157,9,0.023436453607347252
flash_vs_qwen,0.9474788771735297,0.015385795184595914,0.915246844291687,0.9649711847305298,9,0.05252112282647026
flash_vs_gpt_5_4_mini,0.9356483221054077,0.01309674162783827,0.9074881076812744,0.9481362700462341,9,0.06435167789459229
flash_vs_gpt_5_5,0.9075649049546983,0.029382286066337217,0.8660707473754883,0.9475415945053101,9,0.09243509504530167
pro_vs_qwen,0.9352787070804172,0.024392890752366066,0.8910535573959351,0.9611749649047852,9,0.06472129291958284
pro_vs_gpt_5_4_mini,0.9457152353392707,0.010874453823837319,0.9332448244094849,0.9617869853973389,9,0.05428476466072929
pro_vs_gpt_5_5,0.917939219209883,0.03925844386286623,0.8403638601303101,0.9553927183151245,9,0.08206078079011703
qwen_vs_gpt_5_4_mini,0.9020662903785706,0.029713549893454216,0.8619426488876343,0.9433574676513672,9,0.09793370962142944
qwen_vs_gpt_5_5,0.8883519702487521,0.029634039479337005,0.8441413044929504,0.9350332021713257,9,0.11164802975124788
gpt_5_4_mini_vs_gpt_5_5,0.9557062917285495,0.027423999636626242,0.8941150903701782,0.9851325750350952,9,0.044293708271450516
average_pairwise_similarity,0.9312313364611732,0.014156902079388986,0.8982819974422455,0.9463217079639434,9,0.06876866353882682
