folder_a,folder_b,case_id,support_size,kl_ab,kl_ba,sym_kl,js_divergence,js_similarity
deepseek_flash_1,deepseek_flash_2,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_flash_2,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_flash_1,deepseek_flash_2,2,8,10.63017,5.715085,8.172627,0.324511,0.675489
deepseek_flash_1,deepseek_flash_2,3,4,0.241504,0.275489,0.258496,0.062256,0.937744
deepseek_flash_1,deepseek_flash_2,4,2,0.321928,0.278072,0.3,0.073104,0.926896
deepseek_flash_1,deepseek_flash_2,5,9,8.172627,10.53017,9.351399,0.362256,0.637744
deepseek_flash_1,deepseek_flash_2,6,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_flash_1,deepseek_flash_2,7,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_flash_2,8,5,5.247115,2.884009,4.065562,0.169695,0.830305
deepseek_flash_1,deepseek_flash_2,9,4,2.810475,5.179145,3.99481,0.152123,0.847877
deepseek_flash_1,deepseek_flash_2,10,7,8.04111,5.472906,6.757008,0.253283,0.746717
deepseek_flash_1,deepseek_flash_2,11,2,0.152003,2.52074,1.336371,0.051899,0.948101
deepseek_flash_1,deepseek_flash_2,12,7,7.972627,7.972627,7.972627,0.3,0.7
deepseek_flash_1,deepseek_flash_2,13,3,0.514573,7.812426,4.1635,0.169195,0.830805
deepseek_flash_1,deepseek_flash_2,14,11,22.06034,24.817882,23.439111,0.862255,0.137745
deepseek_flash_1,deepseek_flash_2,15,7,7.748116,3.023557,5.385837,0.217426,0.782574
deepseek_flash_1,deepseek_flash_2,16,4,5.415085,2.857542,4.136314,0.162256,0.837744
deepseek_flash_1,deepseek_flash_2,17,4,2.657542,2.657542,2.657542,0.1,0.9
deepseek_flash_1,deepseek_flash_2,18,3,5.379145,2.810475,4.09481,0.152123,0.847877
deepseek_flash_1,deepseek_flash_2,19,3,2.70852,0.366015,1.537267,0.101292,0.898708
deepseek_flash_1,deepseek_pro_1,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_1,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_flash_1,deepseek_pro_1,2,7,18.527309,4.084009,11.305659,0.513233,0.486767
deepseek_flash_1,deepseek_pro_1,3,6,0.671229,5.276049,2.973639,0.173534,0.826466
deepseek_flash_1,deepseek_pro_1,4,2,0.029447,0.029049,0.029248,0.007299,0.992701
deepseek_flash_1,deepseek_pro_1,5,7,2.818506,5.186314,4.00241,0.154016,0.845984
deepseek_flash_1,deepseek_pro_1,6,2,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_1,7,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_1,8,5,13.995231,4.084009,9.03962,0.448085,0.551915
deepseek_flash_1,deepseek_pro_1,9,4,3.184009,10.754681,6.969345,0.271787,0.728213
deepseek_flash_1,deepseek_pro_1,10,8,13.244999,8.312426,10.778713,0.412079,0.587921
deepseek_flash_1,deepseek_pro_1,11,5,0.736965,10.187991,5.462478,0.236453,0.763547
deepseek_flash_1,deepseek_pro_1,12,5,5.454884,3.214829,4.334856,0.231597,0.768403
deepseek_flash_1,deepseek_pro_1,13,4,0.736966,10.387991,5.562478,0.236453,0.763547
deepseek_flash_1,deepseek_pro_1,14,10,13.787712,13.587712,13.687712,0.524511,0.475489
deepseek_flash_1,deepseek_pro_1,15,7,7.948116,3.34055,5.644333,0.27678,0.72322
deepseek_flash_1,deepseek_pro_1,16,6,5.67076,7.839192,6.754976,0.252777,0.747223
deepseek_flash_1,deepseek_pro_1,17,4,5.179145,2.810475,3.99481,0.152123,0.847877
deepseek_flash_1,deepseek_pro_1,18,2,5.257542,0.321928,2.789735,0.108032,0.891968
deepseek_flash_1,deepseek_pro_1,19,4,2.884009,2.831076,2.857542,0.148085,0.851915
deepseek_flash_1,deepseek_pro_2,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_2,1,3,2.657542,2.657542,2.657542,0.1,0.9
deepseek_flash_1,deepseek_pro_2,2,6,13.063201,1.13203,7.097616,0.335057,0.664943
deepseek_flash_1,deepseek_pro_2,3,5,3.023557,3.133031,3.078294,0.199199,0.800801
deepseek_flash_1,deepseek_pro_2,4,2,0.029447,0.029049,0.029248,0.007299,0.992701
deepseek_flash_1,deepseek_pro_2,5,8,6.176049,16.380869,11.278459,0.460163,0.539837
