scenario_id,correct_diagnosis_reference,num_distinct_codes,entropy_bits,normalized_entropy,mode_icd10_code,mode_icd10_label,mode_prob,total_runs
0,Myasthenia gravis,1,0.0,0.0,G7000,Myasthenia gravis without (acute) exacerbation,1.0,10
1,Progressive multifocal encephalopathy (PML),4,1.35678,0.67839,A812,Progressive multifocal leukoencephalopathy,0.7,10
2,Hirschsprung disease,5,2.046439,0.881353,K56601,"Complete intestinal obstruction, unspecified as to cause",0.4,10
3,Diffuse large B-cell lymphoma,3,0.921928,0.581672,C8590,"Non-Hodgkin lymphoma, unspecified, unspecified site",0.8,10
4,Acute interstitial nephritis,4,1.35678,0.67839,N10,Acute pyelonephritis,0.7,10
5,Pes anserine bursitis,2,0.468996,0.468996,M7650,"Patellar tendinitis, unspecified knee",0.9,10
6,Situational syncope,1,0.0,0.0,R55,Syncope and collapse,1.0,10
7,Congenital Rubella Infection,2,0.468996,0.468996,P350,Congenital rubella syndrome,0.9,10
8,Phyllodes tumor,3,1.485475,0.937231,D241,Benign neoplasm of right breast,0.5,10
9,Endometritis,2,0.721928,0.721928,O863,Postpartum endometritis,0.8,10
10,Hemorrhoids,8,2.921928,0.973976,C209,Malignant neoplasm of rectum,0.2,10
11,Complex partial seizure,2,0.881291,0.881291,G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",0.7,10
12,Posterior hip dislocation,4,1.35678,0.67839,S73014A,"Posterior dislocation of right hip, initial encounter",0.7,10
13,Hirschsprung’s disease,6,2.160964,0.835975,Q431,Hirschsprung's disease,0.5,10
14,Rupture of the flexor digitorum profundus tendon at its point of insertion,3,1.485475,0.937231,M20502,Other acquired deformities of unspecified finger(s),0.5,10
15,Epidermoid cyst,5,1.960964,0.844541,L723,Sebaceous cyst,0.5,10
16,C. difficile colitis,4,1.846439,0.92322,K5289,Other specified noninfective gastroenteritis and colitis,0.4,10
17,Pyoderma gangrenosum,3,0.921928,0.581672,L88,Pyoderma gangrenosum,0.8,10
18,Uterine rupture,6,2.446439,0.946412,O7101,Rupture of uterus before onset of labor,0.3,10
19,Disc herniation,3,1.360964,0.858673,M5127,"Other intervertebral disc displacement, lumbosacral region",0.5,10
