scenario_id,correct_diagnosis_reference,num_distinct_codes,entropy_bits,normalized_entropy,mode_icd10_code,mode_icd10_label,mode_prob,total_runs
0,Myasthenia gravis,1,0.0,0.0,G7000,Myasthenia gravis without (acute) exacerbation,1.0,10
1,Progressive multifocal encephalopathy (PML),2,0.468996,0.468996,A812,Progressive multifocal leukoencephalopathy,0.9,10
2,Hirschsprung disease,3,0.921928,0.581672,Q431,Hirschsprung's disease,0.8,10
3,Diffuse large B-cell lymphoma,3,0.921928,0.581672,C8339,"Diffuse large B-cell lymphoma, unspecified site",0.8,10
4,Acute interstitial nephritis,2,0.468996,0.468996,N10,Acute pyelonephritis,0.9,10
5,Pes anserine bursitis,2,0.721928,0.721928,M7026,Pes anserine bursitis,0.8,10
6,Situational syncope,1,0.0,0.0,R55,Syncope and collapse,1.0,10
7,Congenital Rubella Infection,1,0.0,0.0,P350,Congenital rubella syndrome,1.0,10
8,Phyllodes tumor,1,0.0,0.0,D48116,Desmoid tumor of lower extremity and pelvic girdle,1.0,10
9,Endometritis,2,1.0,1.0,O8612,Endometritis following delivery,0.5,10
10,Hemorrhoids,3,0.921928,0.581672,K641,Second degree hemorrhoids,0.8,10
11,Complex partial seizure,2,0.468996,0.468996,G4009,Other localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,0.9,10
12,Posterior hip dislocation,5,1.960964,0.844541,S73004,Posterior dislocation of unspecified hip,0.5,10
13,Hirschsprung’s disease,2,0.721928,0.721928,Q431,Hirschsprung's disease,0.8,10
14,Rupture of the flexor digitorum profundus tendon at its point of insertion,2,0.721928,0.721928,S66395A,"Other injury of extensor muscle, fascia and tendon of left ring finger at wrist and hand level, initial encounter",0.8,10
