case_id,correct_diagnosis_reference,similarity,comparison,embedding_gap
28,Lung cancer,0.9615118503570557,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.038488149642944336
23,Irritable Bowel Syndrome,0.9617770314216614,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.03822296857833862
2,Hirschsprung disease,0.9829097986221313,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.017090201377868652
5,Pes anserine bursitis,0.9842785596847534,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.015721440315246582
24,Meigs syndrome,0.9844539761543274,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.015546023845672607
18,Uterine rupture,0.9845778346061707,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.015422165393829346
25,Primary sclerosing cholangitis,0.9850238561630249,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.014976143836975098
26,Interstitial cystitis,0.9858546257019043,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.014145374298095703
15,Epidermoid cyst,0.9859106540679932,Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.014089345932006836
23,Irritable Bowel Syndrome,0.9125087261199951,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.08749127388000488
28,Lung cancer,0.9194760322570801,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.08052396774291992
18,Uterine rupture,0.9308478832244873,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.0691521167755127
26,Interstitial cystitis,0.9402694702148438,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.05973052978515625
2,Hirschsprung disease,0.9405637383460999,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.059436261653900146
5,Pes anserine bursitis,0.949239194393158,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.05076080560684204
24,Meigs syndrome,0.9547218084335327,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.045278191566467285
25,Primary sclerosing cholangitis,0.9557181596755981,Qwen_plus_turbo_1_vs_deepseek_flash_1,0.044281840324401855
