comparison,mean_case_level_similarity,std,min,max,n_cases,mean_embedding_gap
Qwen_plus_turbo_1_vs_Qwen_plus_turbo_2,0.9795886874198914,0.01021264374017442,0.9615118503570557,0.9859106540679932,9,0.020411312580108643
Qwen_plus_turbo_1_vs_deepseek_flash_1,0.9400106138653226,0.016166665513971085,0.9125087261199951,0.9567505121231079,9,0.059989386134677414
Qwen_plus_turbo_1_vs_deepseek_flash_2,0.9452490409215292,0.020852329929110423,0.9088749885559082,0.9662052392959595,9,0.05475095907847083
Qwen_plus_turbo_1_vs_deepseek_pro_1,0.9299972454706827,0.030234504116371737,0.87172532081604,0.9596723318099976,9,0.07000275452931726
Qwen_plus_turbo_1_vs_deepseek_pro_2,0.9312068753772311,0.030875253798013938,0.8785421252250671,0.9623237252235413,9,0.06879312462276888
Qwen_plus_turbo_2_vs_deepseek_flash_1,0.9388406674067179,0.019316951342645855,0.8957399129867554,0.9599660634994507,9,0.0611593325932821
Qwen_plus_turbo_2_vs_deepseek_flash_2,0.9420512649748061,0.022776516272164343,0.8855623006820679,0.9631924629211426,9,0.05794873502519393
Qwen_plus_turbo_2_vs_deepseek_pro_1,0.9270719488461813,0.027816384868030952,0.8667639493942261,0.9560004472732544,9,0.07292805115381873
Qwen_plus_turbo_2_vs_deepseek_pro_2,0.9290266897943285,0.02819746016005632,0.8685576915740967,0.9584711790084839,9,0.07097331020567155
deepseek_flash_1_vs_deepseek_flash_2,0.9845085210270352,0.006775858160661438,0.9694571495056152,0.9927924275398254,9,0.015491478972964767
deepseek_flash_1_vs_deepseek_pro_1,0.9705280926492479,0.014285651801782486,0.9386135339736938,0.9836046099662781,9,0.029471907350752113
deepseek_flash_1_vs_deepseek_pro_2,0.9683591061168246,0.012452061832639362,0.9442766904830933,0.9843443036079407,9,0.03164089388317537
deepseek_flash_2_vs_deepseek_pro_1,0.9739419089423286,0.007316161008642308,0.9628233909606934,0.9856457114219666,9,0.02605809105767143
deepseek_flash_2_vs_deepseek_pro_2,0.9699999954965379,0.011402972084038938,0.9479907751083374,0.9843644499778748,9,0.030000004503462074
deepseek_pro_1_vs_deepseek_pro_2,0.9861818353335062,0.004826673738652773,0.9791080951690674,0.9935979843139648,9,0.01381816466649377
