case_id,correct_diagnosis_reference,similarity,comparison,embedding_gap
28,Lung cancer,0.9272219141324362,average_pairwise_similarity,0.07277808586756385
23,Irritable Bowel Syndrome,0.9378675619761149,average_pairwise_similarity,0.06213243802388513
5,Pes anserine bursitis,0.9513533314069113,average_pairwise_similarity,0.04864666859308875
2,Hirschsprung disease,0.9536416927973429,average_pairwise_similarity,0.0463583072026571
26,Interstitial cystitis,0.95711616675059,average_pairwise_similarity,0.04288383324941003
15,Epidermoid cyst,0.958120862642924,average_pairwise_similarity,0.041879137357076046
25,Primary sclerosing cholangitis,0.9609050552050272,average_pairwise_similarity,0.039094944794972775
18,Uterine rupture,0.9616463979085287,average_pairwise_similarity,0.03835360209147132
24,Meigs syndrome,0.970090409119924,average_pairwise_similarity,0.029909590880076053
2,Hirschsprung disease,0.9596823453903198,flash_vs_pro,0.040317654609680176
15,Epidermoid cyst,0.9638300538063049,flash_vs_pro,0.03616994619369507
23,Irritable Bowel Syndrome,0.9732803106307983,flash_vs_pro,0.02671968936920166
28,Lung cancer,0.9753653407096863,flash_vs_pro,0.02463465929031372
25,Primary sclerosing cholangitis,0.9755511283874512,flash_vs_pro,0.024448871612548828
26,Interstitial cystitis,0.9808923006057739,flash_vs_pro,0.019107699394226074
5,Pes anserine bursitis,0.9847643375396729,flash_vs_pro,0.015235662460327148
24,Meigs syndrome,0.9865921139717102,flash_vs_pro,0.013407886028289795
18,Uterine rupture,0.989113986492157,flash_vs_pro,0.010886013507843018
28,Lung cancer,0.915246844291687,flash_vs_qwen,0.08475315570831299
23,Irritable Bowel Syndrome,0.9399682283401489,flash_vs_qwen,0.060031771659851074
5,Pes anserine bursitis,0.9419965744018555,flash_vs_qwen,0.05800342559814453
18,Uterine rupture,0.9450612664222717,flash_vs_qwen,0.05493873357772827
2,Hirschsprung disease,0.9467116594314575,flash_vs_qwen,0.05328834056854248
26,Interstitial cystitis,0.9482153654098511,flash_vs_qwen,0.051784634590148926
24,Meigs syndrome,0.9625041484832764,flash_vs_qwen,0.03749585151672363
25,Primary sclerosing cholangitis,0.9626346230506897,flash_vs_qwen,0.0373653769493103
15,Epidermoid cyst,0.9649711847305298,flash_vs_qwen,0.035028815269470215
28,Lung cancer,0.8910535573959351,pro_vs_qwen,0.10894644260406494
23,Irritable Bowel Syndrome,0.9003541469573975,pro_vs_qwen,0.09964585304260254
5,Pes anserine bursitis,0.9272990822792053,pro_vs_qwen,0.07270091772079468
26,Interstitial cystitis,0.942240834236145,pro_vs_qwen,0.05775916576385498
25,Primary sclerosing cholangitis,0.9445294141769409,pro_vs_qwen,0.05547058582305908
15,Epidermoid cyst,0.9455613493919373,pro_vs_qwen,0.054438650608062744
18,Uterine rupture,0.9507639408111572,pro_vs_qwen,0.04923605918884277
2,Hirschsprung disease,0.9545310735702515,pro_vs_qwen,0.045468926429748535
24,Meigs syndrome,0.9611749649047852,pro_vs_qwen,0.038825035095214844
