folder_a,folder_b,case_id,support_size,kl_ab,kl_ba,sym_kl,js_divergence,js_similarity
deepseek_flash_1,deepseek_pro_1,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_1,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_flash_1,deepseek_pro_1,2,7,18.527309,4.084009,11.305659,0.513233,0.486767
deepseek_flash_1,deepseek_pro_1,3,6,0.671229,5.276049,2.973639,0.173534,0.826466
deepseek_flash_1,deepseek_pro_1,4,2,0.029447,0.029049,0.029248,0.007299,0.992701
deepseek_flash_1,deepseek_pro_1,5,7,2.818506,5.186314,4.00241,0.154016,0.845984
deepseek_flash_1,deepseek_pro_1,6,2,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_1,7,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,deepseek_pro_1,8,5,13.995231,4.084009,9.03962,0.448085,0.551915
deepseek_flash_1,deepseek_pro_1,9,4,3.184009,10.754681,6.969345,0.271787,0.728213
deepseek_flash_1,deepseek_pro_1,10,8,13.244999,8.312426,10.778713,0.412079,0.587921
deepseek_flash_1,deepseek_pro_1,11,5,0.736965,10.187991,5.462478,0.236453,0.763547
deepseek_flash_1,deepseek_pro_1,12,5,5.454884,3.214829,4.334856,0.231597,0.768403
deepseek_flash_1,deepseek_pro_1,13,4,0.736966,10.387991,5.562478,0.236453,0.763547
deepseek_flash_1,deepseek_pro_1,14,10,13.787712,13.587712,13.687712,0.524511,0.475489
deepseek_flash_1,deepseek_pro_1,15,7,7.948116,3.34055,5.644333,0.27678,0.72322
deepseek_flash_1,deepseek_pro_1,16,6,5.67076,7.839192,6.754976,0.252777,0.747223
deepseek_flash_1,deepseek_pro_1,17,4,5.179145,2.810475,3.99481,0.152123,0.847877
deepseek_flash_1,deepseek_pro_1,18,2,5.257542,0.321928,2.789735,0.108032,0.891968
deepseek_flash_1,deepseek_pro_1,19,4,2.884009,2.831076,2.857542,0.148085,0.851915
deepseek_flash_1,gpt-4o-mini,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_1,gpt-4o-mini,1,5,2.983855,7.718828,5.351342,0.20904,0.79096
deepseek_flash_1,gpt-4o-mini,2,10,22.135828,25.093371,23.6146,0.862255,0.137745
deepseek_flash_1,gpt-4o-mini,3,5,14.587712,4.857542,9.722627,0.593052,0.406948
deepseek_flash_1,gpt-4o-mini,4,5,14.205963,8.312426,11.259195,0.412079,0.587921
deepseek_flash_1,gpt-4o-mini,5,7,27.936389,29.428357,28.682373,1.0,0.0
deepseek_flash_1,gpt-4o-mini,6,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_flash_1,gpt-4o-mini,7,2,0.152003,2.52074,1.336371,0.051899,0.948101
deepseek_flash_1,gpt-4o-mini,8,6,16.616484,14.124165,15.370324,0.554016,0.445984
deepseek_flash_1,gpt-4o-mini,9,3,4.610475,23.226355,13.918415,0.623779,0.376221
deepseek_flash_1,gpt-4o-mini,10,11,11.891134,18.770604,15.330869,0.667249,0.332751
deepseek_flash_1,gpt-4o-mini,11,2,0.514573,8.087915,4.301244,0.169195,0.830805
deepseek_flash_1,gpt-4o-mini,12,7,7.972627,7.972627,7.972627,0.3,0.7
deepseek_flash_1,gpt-4o-mini,13,6,1.0,12.787712,6.893856,0.311278,0.688722
deepseek_flash_1,gpt-4o-mini,14,9,27.375425,28.411877,27.893651,1.0,0.0
deepseek_flash_1,gpt-4o-mini,15,10,24.636667,14.648676,19.642672,0.804993,0.195007
deepseek_flash_1,gpt-4o-mini,16,4,0.665148,8.225174,4.445161,0.204398,0.795602
deepseek_flash_1,gpt-4o-mini,17,4,2.657542,2.657542,2.657542,0.1,0.9
deepseek_flash_1,gpt-4o-mini,18,7,6.647115,18.578286,12.6127,0.535057,0.464943
deepseek_flash_1,gpt-4o-mini,19,4,4.084009,14.356195,9.220102,0.448085,0.551915
deepseek_pro_1,gpt-4o-mini,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_pro_1,gpt-4o-mini,1,4,0.514573,7.612426,4.0635,0.169195,0.830805
deepseek_pro_1,gpt-4o-mini,2,7,29.428357,27.850913,28.639635,1.0,0.0
deepseek_pro_1,gpt-4o-mini,3,7,11.491134,4.82535,8.158242,0.578527,0.421473
deepseek_pro_1,gpt-4o-mini,4,5,17.17329,8.537776,12.855533,0.479887,0.520113
deepseek_pro_1,gpt-4o-mini,5,8,27.575425,29.428357,28.501891,1.0,0.0
deepseek_pro_1,gpt-4o-mini,6,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_pro_1,gpt-4o-mini,7,2,0.152003,2.52074,1.336371,0.051899,0.948101
deepseek_pro_1,gpt-4o-mini,8,6,28.601891,28.411877,28.506884,1.0,0.0
deepseek_pro_1,gpt-4o-mini,9,3,9.099094,2.083007,5.591051,0.449022,0.550978
deepseek_pro_1,gpt-4o-mini,10,11,9.937776,24.037147,16.987461,0.782574,0.217426
deepseek_pro_1,gpt-4o-mini,11,5,7.680696,0.631163,4.15593,0.190521,0.809479
deepseek_pro_1,gpt-4o-mini,12,6,13.844999,8.312426,11.078713,0.412079,0.587921
deepseek_pro_1,gpt-4o-mini,13,7,5.672906,7.84111,6.757008,0.253283,0.746717
deepseek_pro_1,gpt-4o-mini,14,10,27.175425,28.411877,27.793651,1.0,0.0
deepseek_pro_1,gpt-4o-mini,15,9,28.050913,27.936389,27.993651,1.0,0.0
deepseek_pro_1,gpt-4o-mini,16,7,8.223605,11.071674,9.647639,0.37678,0.62322
deepseek_pro_1,gpt-4o-mini,17,4,2.810475,5.179145,3.99481,0.152123,0.847877
deepseek_pro_1,gpt-4o-mini,18,6,1.736965,18.481708,10.109337,0.493423,0.506577
deepseek_pro_1,gpt-4o-mini,19,4,4.857542,14.948676,9.903109,0.593052,0.406948
