folder_a,folder_b,case_id,support_size,kl_ab,kl_ba,sym_kl,js_divergence,js_similarity
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,2,5,2.811658,5.180233,3.995946,0.152406,0.847594
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,3,5,5.315085,5.315085,5.315085,0.2,0.8
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,4,3,2.657542,2.657542,2.657542,0.1,0.9
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,5,5,5.847115,10.581147,8.214131,0.31034,0.68966
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,8,3,0.736966,10.663479,5.700222,0.236453,0.763547
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,9,2,0.125769,0.118709,0.122239,0.030305,0.969695
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,10,3,5.057543,0.321928,2.689735,0.108032,0.891968
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,11,2,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,12,5,5.172372,0.439799,2.806085,0.13659,0.86341
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,13,4,0.6,5.315085,2.957542,0.173534,0.826466
different_prompt/balanced_baseline,different_prompt/aggressive_efficiency_first,14,3,0.215037,2.584009,1.399523,0.067603,0.932397
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,2,5,3.2,10.766623,6.983311,0.275196,0.724804
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,3,4,2.657542,2.657542,2.657542,0.1,0.9
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,4,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,5,4,0.354116,5.080233,2.717175,0.114662,0.885338
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,8,2,0.321928,5.257542,2.789735,0.108032,0.891968
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,9,2,0.029447,0.029049,0.029248,0.007299,0.992701
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,10,4,5.179145,2.810475,3.99481,0.152123,0.847877
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,11,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,12,5,5.098092,0.375489,2.736791,0.119518,0.880482
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,13,5,0.542457,7.633592,4.088024,0.175196,0.824804
different_prompt/balanced_baseline,different_prompt/conservative_safety_first,14,4,0.354116,5.080233,2.717175,0.114662,0.885338
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,2,5,2.989572,7.923605,5.456589,0.21034,0.78966
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,3,5,5.469201,8.037776,6.753488,0.252406,0.747594
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,4,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,5,4,0.354116,5.080233,2.717175,0.114662,0.885338
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,8,2,0.152003,2.52074,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,9,2,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,10,5,5.315085,5.315085,5.315085,0.2,0.8
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,11,2,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,12,6,7.833591,3.1,5.466796,0.237452,0.762548
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,13,4,0.354116,5.080233,2.717175,0.114662,0.885338
different_prompt/balanced_baseline,different_prompt/distinct_diagnosis,14,3,5.515085,5.515085,5.515085,0.2,0.8
different_prompt/balanced_baseline,different_prompt/low_cost_testing,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/low_cost_testing,1,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/low_cost_testing,2,4,5.315085,5.515085,5.415085,0.2,0.8
different_prompt/balanced_baseline,different_prompt/low_cost_testing,3,3,5.057543,0.321928,2.689735,0.108032,0.891968
different_prompt/balanced_baseline,different_prompt/low_cost_testing,4,3,2.810475,5.379145,4.09481,0.152123,0.847877
different_prompt/balanced_baseline,different_prompt/low_cost_testing,5,4,5.515085,5.315085,5.415085,0.2,0.8
different_prompt/balanced_baseline,different_prompt/low_cost_testing,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/low_cost_testing,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/balanced_baseline,different_prompt/low_cost_testing,8,2,0.152003,2.52074,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/low_cost_testing,9,4,0.529447,5.20852,2.868983,0.151191,0.848809
different_prompt/balanced_baseline,different_prompt/low_cost_testing,10,4,5.179145,2.810475,3.99481,0.152123,0.847877
different_prompt/balanced_baseline,different_prompt/low_cost_testing,11,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/balanced_baseline,different_prompt/low_cost_testing,12,6,5.272372,2.897341,4.084856,0.174334,0.825666
different_prompt/balanced_baseline,different_prompt/low_cost_testing,13,4,5.515085,5.315085,5.415085,0.2,0.8
different_prompt/balanced_baseline,different_prompt/low_cost_testing,14,4,0.33203,5.066062,2.699046,0.11034,0.88966
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,0,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,1,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,2,5,2.838845,2.890318,2.864581,0.149823,0.850177
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,3,4,2.657542,2.657542,2.657542,0.1,0.9
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,4,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,5,7,10.696734,8.128302,9.412518,0.352777,0.647223
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,6,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,7,1,0.0,0.0,0.0,0.0,1.0
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,8,4,10.856636,5.847115,8.351876,0.31034,0.68966
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,9,2,0.031163,0.03258,0.031871,0.007947,0.992053
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,10,2,0.152003,2.52074,1.336371,0.051899,0.948101
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,11,2,2.52074,0.152003,1.336371,0.051899,0.948101
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,12,3,0.181303,0.232775,0.207039,0.049823,0.950177
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,13,6,2.928771,5.276049,4.10241,0.178527,0.821473
different_prompt/aggressive_efficiency_first,different_prompt/conservative_safety_first,14,4,0.342053,2.654721,1.498387,0.090522,0.909478
